Prefix,Code,Type,Line,Station
0100,00166800,,,裕丰围
0100,00166801,,,裕丰围
0100,00166802,,,裕丰围
0100,00166803,,,裕丰围
0100,00166804,,,裕丰围
0100,00166805,,,裕丰围
0100,00166806,,,裕丰围
0100,00166807,,,裕丰围
0100,00166808,,,裕丰围
0100,00166809,,,裕丰围
0100,00166810,,,裕丰围
0100,00166811,,,裕丰围
0100,00166812,,,裕丰围
0100,00166813,,,裕丰围
0100,00166814,,,裕丰围
0100,00166815,,,裕丰围
0100,00166816,,,裕丰围
0100,00166817,,,裕丰围
0100,00166818,,,裕丰围
0100,00166819,,,裕丰围
0100,00166820,,,裕丰围
0100,00166821,,,裕丰围
0100,00166822,,,裕丰围
0100,00166823,,,裕丰围
0100,00166824,,,裕丰围
0100,00166825,,,裕丰围
0100,00166826,,,裕丰围
0100,00166827,,,裕丰围
0100,00166828,,,裕丰围
0100,00166829,,,裕丰围
0100,00166830,,,裕丰围
0100,00166831,,,双岗
0100,00166832,,,双岗
0100,00166833,,,双岗
0100,00166834,,,双岗
0100,00166835,,,双岗
0100,00166836,,,双岗
0100,00166837,,,双岗
0100,00166839,,,双岗
0100,00166840,,,双岗
0100,00166841,,,双岗
0100,00166842,,,双岗
0100,00166843,,,双岗
0100,00166844,,,双岗
0100,00166845,,,双岗
0100,00166846,,,双岗
0100,00166847,,,双岗
0100,00166848,,,双岗
0100,00166849,,,双岗
0100,00166850,,,双岗
0100,00166851,,,双岗
0100,00166852,,,双岗
0100,00166853,,,双岗
0100,00166854,,,双岗
0100,00166855,,,双岗
0100,00166856,,,双岗
0100,00166857,,,双岗
0100,00166858,,,双岗
0100,00166859,,,双岗
0100,00166860,,,双岗
0100,00166861,,,双岗
0100,00166862,,,双岗
0100,00166863,,,双岗
0100,00166864,,,双岗
0100,00166865,,,双岗
0100,00166866,,,双岗
0100,00166867,,,双岗
0100,00166868,,,双岗
0100,00166869,,,双岗
0100,00166870,,,双岗
0100,00166871,,,南海神庙
0100,00166872,,,南海神庙
0100,00166873,,,南海神庙
0100,00166874,,,南海神庙
0100,00166875,,,南海神庙
0100,00166876,,,南海神庙
0100,00166877,,,南海神庙
0100,00166878,,,南海神庙
0100,00166879,,,南海神庙
0100,00166880,,,南海神庙
0100,00166881,,,南海神庙
0100,00166882,,,南海神庙
0100,00166883,,,南海神庙
0100,00166884,,,南海神庙
0100,00166885,,,南海神庙
0100,00166886,,,南海神庙
0100,00166887,,,南海神庙
0100,00166888,,,南海神庙
0100,00166889,,,南海神庙
0100,00166890,,,南海神庙
0100,00166891,,,南海神庙
0100,00166892,,,南海神庙
0100,00166893,,,南海神庙
0100,00166894,,,南海神庙
0100,00166895,,,南海神庙
0100,00166896,,,南海神庙
0100,00166897,,,南海神庙
0100,00166898,,,南海神庙
0100,00166899,,,南海神庙
0100,00166900,,,南海神庙
0100,00166901,,,南海神庙
0100,00166902,,,南海神庙
0100,00166903,,,南海神庙
0100,00166904,,,南海神庙
0100,00166905,,,南海神庙
0100,00166906,,,南海神庙
0100,00166907,,,南海神庙
0100,00166908,,,南海神庙
0100,00166909,,,南海神庙
0100,00166910,,,夏园
0100,00166911,,,夏园
0100,00166912,,,夏园
0100,00166913,,,夏园
0100,00166914,,,夏园
0100,00166915,,,夏园
0100,00166916,,,夏园
0100,00166917,,,夏园
0100,00166918,,,夏园
0100,00166919,,,夏园
0100,00166920,,,夏园
0100,00166921,,,夏园
0100,00166922,,,夏园
0100,00166923,,,夏园
0100,00166924,,,夏园
0100,00166925,,,夏园
0100,00166926,,,夏园
0100,00166927,,,夏园
0100,00166928,,,夏园
0100,00166929,,,夏园
