City,Code,Type,Line,Station,Station-en
3010,413100411844,自行车,主城,南京科技馆北,North Nanjing Science and Technology Museum
3010,413100411908,自行车,主城,解放路北,North Jiefanglu
3010,413100411917,自行车,主城,大桥南路八巷,Daqiaonanlu Baxiang
3010,413100411984,自行车,主城,高楼门53号,Gaoloumen No.53
3010,413100411990,自行车,主城,天津新村1号门,Gate No.1 of Tianjin Xincun
3010,413100411994,自行车,主城,玉兰丁墙路口,Dingqianglu Intersection Yulanlu
3010,413100411995,自行车,主城,大明路地铁1号口,Daminglu Metro Exit 1
3010,413100411997,自行车,主城,玄武门地铁4号口,Xuanwumen Metro Exit 4
3010,413100412003,自行车,主城,省电视台,Jiangsu TV Station
3010,413100412008,自行车,主城,情侣园东门,East Gate of Qinglvyuan
3010,413100412010,自行车,主城,市第一医院西,West Nanjing First Hospital
3010,413100412011,自行车,主城,三山街地铁4号口,Sanshanjie Metro Exit 4
3010,413100412020,自行车,主城,江南大酒店,Jiangnan Hotel
3010,413100412049,自行车,主城,龙蟠路太阳宫,Longpanlu Sun Palace
3010,413100415062,自行车,江北,智鼎源大门,Zhidingyuan Gate
3010,413100415063,自行车,江北,海科新寓二期,Haike Xinyu Phase 2
3010,413100415105,自行车,江宁,南站南广场,South Square of South Railway Station
3010,413100415171,自行车,江宁,麦德龙,METRO Store
3010,413100415217,自行车,江北,金地格林格林,Jindi Gelin Gelin
3010,413100415219,自行车,江北,力标四季嘉园,Libiao Siji Jiayuan
3010,413100415462,自行车,主城,南京长江科技园,Nanjing Changjiang Science and Technology Park
3010,413100415519,自行车,主城,新金茂花园南,South Xinjinmao Huayuan
3010,413100415523,自行车,主城,金茂花园西,West Jinmao Huayuan
3010,413100415582,自行车,主城,疾病预防控制中心,Centers for Disease Control and Prevention
3010,413100415597,自行车,主城,红十字血液中心,Red Cross Blood Center
3010,413100425584,自行车,江宁,江宁高铁站,Jiangning High-speed Railway Station
3010,413100427013,自行车,江宁,景明佳园,Jingming Jiayuan
3010,413100427018,自行车,江宁,机场S1佛城路1,"Airport Line S1,Fochenglu 1"
3010,413100430551,自行车,江宁,同夏路东山总站,"Tongxialu,Dongshan Terminal"
3010,413100609843,自行车,主城,佳日雅苑西,West Jiari Yayuan
3010,413100610175,自行车,主城,行政服务大厅,Administrative Service Hall
3010,413100610198,自行车,主城,栖园东门,East Gate of Qiyuan
3010,413100610220,自行车,主城,元通4号出口,Yuantong Metro Exit 4
3010,413100610246,自行车,主城,中山俊景,Zhongshan Junjing
3010,413100610252,自行车,主城,挹江门东,East Yijiang Gate
3010,413100610274,自行车,主城,摄山路,Sheshanlu
3010,413100610283,自行车,主城,大桥南路家乐福店,Daqiaonanlu Carrefour Store
3010,413100610287,自行车,主城,集庆路仙鹤街路口,Xianhejie Intersection of Jiqinglu
3010,413100610319,自行车,主城,江南大厦,Jiangnan Building
3010,413100610325,自行车,主城,阅江广场,Yuejiang Plaza
3010,413100610367,自行车,主城,黑龙江路东,East Heilongjianglu
3010,413100610376,自行车,主城,燕子矶公园,Yanziji Park
3010,413100610425,自行车,主城,南京铁路办事处,Nanjing Railway Office
3010,413100610460,自行车,主城,鼓楼地铁1号口,Gulou Metro Exit 1
3010,413100610494,自行车,主城,建宁路麦当劳,Jianninglu McDonald's
3010,413100610512,自行车,主城,建宁路义民路口,Yiminlu Intersection of Jianninglu
3010,413100610517,自行车,主城,双门楼宾馆,Shuangmenlou Hotel
3010,413100610518,自行车,主城,河图文化广场,Hetu Cultural Plaza
3010,413100610537,自行车,主城,马群地铁1号口,Maqun Metro Exit 1
3010,413100610755,自行车,主城,上福花园军师巷,Shangfu Huayuan Junshixiang
3010,413100610760,自行车,主城,汉中门4口,Hanzhongmen Metro Exit 4
3010,413100610766,自行车,主城,集庆门东,East Jiqingmen
3010,413100610777,自行车,主城,市第一医院北门,North Gate of Nanjing First Hospital
3010,413100610805,自行车,主城,马鞍山食堂,Ma'anshan Dining Hall
3010,413100610811,自行车,主城,皇册花园晶华,Huangce Huayuan Jinghua
3010,413100610815,自行车,主城,三山街地铁2号口,Sanshanjie Metro Exit 2
3010,413100610819,自行车,主城,凤巢文化产业园,Fengchao Cultural Industry Park
3010,413100610824,自行车,主城,大明路地铁4号口,Daminglu Metro Exit 4
3010,413100610835,自行车,主城,西安门地铁1号口,Xi'anmen Metro Exit 1
3010,413100612575,自行车,主城,梦都大街南京银行,"Mengdudajie,Nanjing Bank"
3010,413100612614,自行车,主城,江心洲地铁1号口,Jiangxinzhou Metro Exit 1
3010,413100612633,自行车,江北,瑞景国际,Ruijing International
3010,413100612736,自行车,江北,龙池翠洲,Longchi Cuizhou
3010,413100612739,自行车,江北,璟湖国际,Jinghu International
3010,413100613343,自行车,主城,宜家家居广场东,East IKEA Plaza
3010,413100613403,自行车,主城,大报恩寺遗址公园,Great Bao'en Temple Heritage Park
3010,413100613416,自行车,主城,武定门地铁3号口,Wudingmen Metro Exit 3
3010,413100613451,自行车,主城,地铁羊山公园,Yangshangongyuan Metro Station
3010,413100613465,自行车,主城,仙鹤门地铁站,Xianhemen Metro Station
3010,413100613470,自行车,主城,保利罗来,Baoli Luolai
3010,413100613481,自行车,主城,地铁南大仙林站,NJU Xianlin Campus Metro Station
3010,413100613528,自行车,主城,虎踞关小区,Hujuguan Community
3010,413100613531,自行车,主城,河海大学东门,East Gate of Hohai University
3010,413100613949,自行车,主城,鸡鸣寺,Jiming Temple
3010,413100613951,自行车,主城,金卡大厦,Jinka Building
